Text,m1_label,m1_confidence,m2_label,m2_confidence,final_label,m1_probabilities,m2_probabilities
"Here is the latest info from @USER on the #COVID19 case count in #YQG to date: * 2 confirmed cases * 352 individuals tested * 194 tests pending Anyone returning home from travel outside of Canada must #selfisolate for a period of 14 days. Everyone else, #socialdistance! HTTPURL",INFORMATIVE,0.906639,Medium,0.986095,INFORMATIVE / Medium,"{'UNINFORMATIVE': 0.09336116909980774, 'INFORMATIVE': 0.9066388607025146}","{'Low': 0.002438986673951149, 'Medium': 0.98609459400177, 'High': 0.011466452851891518}"
"As the number of confirmed novel coronavirus (COVID-19) cases increases in the Northwest, PeaceHealth is restricting visitor access at its Northwest Washington and Alaska hospitals. HTTPURL HTTPURL",INFORMATIVE,0.607523,High,0.990014,INFORMATIVE / High,"{'UNINFORMATIVE': 0.3924765884876251, 'INFORMATIVE': 0.6075234413146973}","{'Low': 0.004911354277282953, 'Medium': 0.00507453503087163, 'High': 0.9900140762329102}"
"TY, Jon. This explains why New York City Health in their Daily Data Summary is categorizing any&amp;all deaths as #COVIDー19. See here: HTTPURL This also explains why #CDC lied in '09 &amp; stopped counting the #H1N1 cases, because NONE were found!",INFORMATIVE,0.630911,High,0.96039,INFORMATIVE / High,"{'UNINFORMATIVE': 0.36908891797065735, 'INFORMATIVE': 0.630911111831665}","{'Low': 0.03914877772331238, 'Medium': 0.0004614572389982641, 'High': 0.9603897929191589}"
"Text - H.R.6074 - 116th Congress (2019-2020): Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020 | HTTPURL | Library of Congress HTTPURL",UNINFORMATIVE,0.992463,-,-,UNINFORMATIVE,"{'UNINFORMATIVE': 0.9924626350402832, 'INFORMATIVE': 0.007537361234426498}",-
NEWS: The @USER have confirmed the number of #coronavirus cases in the #southwest of England has reached 22. You can find more information and advice on what you can do to stay safe in the link below. (Pic credits: @USER HTTPURL HTTPURL,INFORMATIVE,0.897533,Low,0.997544,INFORMATIVE / Low,"{'UNINFORMATIVE': 0.1024671196937561, 'INFORMATIVE': 0.8975328803062439}","{'Low': 0.9975438714027405, 'Medium': 0.0007573292241431773, 'High': 0.0016987662529572845}"
"Professionals should stand for #FactnotFear. Cruise ship turned away from docking because the Medical Association of Malta threatened an industrial action if is allowed to enter. There are no #COVIDー19 cases in the cruise, which is now heading to Italy. HTTPURL",INFORMATIVE,0.782774,High,0.780501,INFORMATIVE / High,"{'UNINFORMATIVE': 0.2172258049249649, 'INFORMATIVE': 0.7827742695808411}","{'Low': 0.1021171510219574, 'Medium': 0.11738182604312897, 'High': 0.7805010080337524}"
"@USER @USER @USER #Resist #Resistance #NotDyingForTrump To put a little perspective on things: trump says he'll have done a good job if only 100,000 Americans die from #COVID19. There were about 45,000 Americans who died in the Korean War. There were about 58,000 Americans killed in Vietnam.",INFORMATIVE,0.539897,High,0.996157,INFORMATIVE / High,"{'UNINFORMATIVE': 0.4601031541824341, 'INFORMATIVE': 0.5398969054222107}","{'Low': 0.0029748789966106415, 'Medium': 0.0008684916538186371, 'High': 0.996156632900238}"
"Police book case against 2 sons of the 71-yr-old man who was declared #COVID19 +ve by Stanley Hospital (#Chennai) 1 day after his burial at #Ramanathapuram dist., under Epidemic Diseases Act, TN Public Health Act &amp; Disaster Mgmt Act for ""suppression of facts"". @USER",INFORMATIVE,0.952271,High,0.932465,INFORMATIVE / High,"{'UNINFORMATIVE': 0.047729119658470154, 'INFORMATIVE': 0.9522709250450134}","{'Low': 0.05099223181605339, 'Medium': 0.016542864963412285, 'High': 0.9324648976325989}"
BREAKING &gt;&gt; The Nebraska woman who tested positive for COVID-19 has arrived at the Nebraska Biocontainment Unit at UNMC/Nebraska Med. Full report tonight at 10. HTTPURL,INFORMATIVE,0.964956,Medium,0.653555,INFORMATIVE / Medium,"{'UNINFORMATIVE': 0.03504391014575958, 'INFORMATIVE': 0.9649560451507568}","{'Low': 0.005588725674897432, 'Medium': 0.6535549759864807, 'High': 0.34085631370544434}"
Two of the three confirmed cases of Covid-19 in the Capital are in Parvesh Singh Verma's West Delhi constituency. Wonder what he has to say...,INFORMATIVE,0.948348,Medium,0.994121,INFORMATIVE / Medium,"{'UNINFORMATIVE': 0.05165165662765503, 'INFORMATIVE': 0.9483484029769897}","{'Low': 0.0015896300319582224, 'Medium': 0.9941207766532898, 'High': 0.004289525561034679}"
"@USER Upstate and CNY hospitals are going broke under your order; doctors and nurses are being laid off. There aren’t the cases that you are seeing in NY, and a simple drug now cures it. You are destroying an economy and saving nobody at this point. #Covid_19",UNINFORMATIVE,0.9513,-,-,UNINFORMATIVE,"{'UNINFORMATIVE': 0.9512995481491089, 'INFORMATIVE': 0.048700422048568726}",-
Uganda Has Confirmed Its First Positive Covid-19 Case. The Confirmed Case Is A 36 Year Old Ugandan Male Who Arrived From Dubai Saturday 21 March 2020 Aboard Ethiopian Airlines Plane. Tune in right now on #EbruPrimeTime News for more updates! HTTPURL,INFORMATIVE,0.977611,High,0.977465,INFORMATIVE / High,"{'UNINFORMATIVE': 0.022388985380530357, 'INFORMATIVE': 0.9776109457015991}","{'Low': 0.02212154120206833, 'Medium': 0.00041363699710927904, 'High': 0.9774647951126099}"
The NBA should resume play with only the players who have been cleared from the coronavirus. The Nets would probably dominate with 4 recovered players but Gobert/Mitchell would be a dominant duo,UNINFORMATIVE,0.932171,-,-,UNINFORMATIVE,"{'UNINFORMATIVE': 0.932171106338501, 'INFORMATIVE': 0.06782884150743484}",-
"Help UCL find solutions to the challenges that #Coronavirus (#Covid_19) brings, at a pace that would, under normal circumstances, be considered impossible. To find out more about the world-impacting research that is taking place at UCL, visit our website. HTTPURL",UNINFORMATIVE,0.994433,-,-,UNINFORMATIVE,"{'UNINFORMATIVE': 0.9944328665733337, 'INFORMATIVE': 0.0055671390146017075}",-
"Why is cruise ""industry"" not CLOSED? At least 30 #cruiseships at sea Mar 21 HTTPURL Cuba accepts #COVID19-infected cruise ship #Braemar stranded at sea for weeks HTTPURL Cruise Ship Passengers Describe Chaotic Flight Home HTTPURL",UNINFORMATIVE,0.681374,-,-,UNINFORMATIVE,"{'UNINFORMATIVE': 0.6813735365867615, 'INFORMATIVE': 0.3186264932155609}",-
@USER @USER But no well wishes to so much as one of the hundreds of thousands of Americans who have contracted COVID-19 under Trump's watch? No messages of sympathy to so much as one family of one of the thousands of Americans who have died?,INFORMATIVE,0.651773,High,0.994083,INFORMATIVE / High,"{'UNINFORMATIVE': 0.34822720289230347, 'INFORMATIVE': 0.6517727971076965}","{'Low': 0.004720175638794899, 'Medium': 0.0011963571887463331, 'High': 0.9940834641456604}"
"@USER @USER @USER No, you know who the COVID-19 did help, The Red Sox... I would like to read the investigation findings. Annnnnnd then do the Yankees. After all there's no baseball. So plenty of time to investigate every team.",UNINFORMATIVE,0.887135,-,-,UNINFORMATIVE,"{'UNINFORMATIVE': 0.8871354460716248, 'INFORMATIVE': 0.11286459863185883}",-
"(CNET News):#Coronavirus updates: Cases spread across US as global total tops 100,000 - #CNET : Here's the latest on the COVID-19 outbreak, with the coronavirus spreading to Pennsylvania, Indiana, Minnesota, Kentucky and Hawaii .. HTTPURL HTTPURL",INFORMATIVE,0.768236,Medium,0.798928,INFORMATIVE / Medium,"{'UNINFORMATIVE': 0.23176369071006775, 'INFORMATIVE': 0.7682362794876099}","{'Low': 0.003523988649249077, 'Medium': 0.7989280819892883, 'High': 0.1975480020046234}"
391 persons who visited Markaz Nizamuddin have been traced and quarantined. 11 out of 91 persons who were tested in Bidar are COVID19 positive: Karnataka Chief Minister BS Yediyurappa HTTPURL,INFORMATIVE,0.984582,Medium,0.987915,INFORMATIVE / Medium,"{'UNINFORMATIVE': 0.015417558141052723, 'INFORMATIVE': 0.9845824241638184}","{'Low': 0.003697271691635251, 'Medium': 0.9879148006439209, 'High': 0.00838790275156498}"
From Andamans to Arunachal to border districts of Rajasthan to J&amp;K — the latest positive cases related to Tablighi Jamaat conclave #COVID,INFORMATIVE,0.674816,Medium,0.992142,INFORMATIVE / Medium,"{'UNINFORMATIVE': 0.32518434524536133, 'INFORMATIVE': 0.6748155951499939}","{'Low': 0.0019211270846426487, 'Medium': 0.9921417236328125, 'High': 0.0059371027164161205}"
"Two Microsoft employees were being treated for the coronavirus, a company spokesman said. Microsoft did not close its campus, but it had already advised employees to work from home if possible. Do they live on the Eastside or around Seattle?",INFORMATIVE,0.706495,Medium,0.819166,INFORMATIVE / Medium,"{'UNINFORMATIVE': 0.2935045063495636, 'INFORMATIVE': 0.706495463848114}","{'Low': 0.13602572679519653, 'Medium': 0.8191655278205872, 'High': 0.044808726757764816}"
Have heard that an apartment building in Karachi's Clifton area close to Do Talwar has a coronavirus case - but there's no way to verify this since the Govt doesn't give out locations from where people have been infected,INFORMATIVE,0.856432,Medium,0.874716,INFORMATIVE / Medium,"{'UNINFORMATIVE': 0.1435675173997879, 'INFORMATIVE': 0.8564324975013733}","{'Low': 0.012683339416980743, 'Medium': 0.8747157454490662, 'High': 0.11260094493627548}"
"83 confirmed cases in California at 5:18 p.m. (78 cases at 10:07 a.m.) 1 confirmed death in California 49 confirmed cases in the Bay Area 8,700 Californians in self-quarantine By CHRONICLE DIGITAL TEAM | LAST UPDATED: March 6, 2020 3:08 p.m. (COVID19)",INFORMATIVE,0.90533,High,0.994206,INFORMATIVE / High,"{'UNINFORMATIVE': 0.09467032551765442, 'INFORMATIVE': 0.9053296446800232}","{'Low': 0.00559186702594161, 'Medium': 0.00020170124480500817, 'High': 0.994206428527832}"
Unfilial Mew visiting Granny during #cny2020. Didn’t know that would be my last visit. I’m guilt stricken and regret not going regularly. Reading about the latest #COVIDー19 death traumatise me. That #leeahmooi contracted 🦠&amp; died one day later. Same age as my Gran. 💀 😔 HTTPURL,INFORMATIVE,0.721475,High,0.986671,INFORMATIVE / High,"{'UNINFORMATIVE': 0.27852514386177063, 'INFORMATIVE': 0.721474826335907}","{'Low': 0.012691089883446693, 'Medium': 0.0006383708096109331, 'High': 0.9866705536842346}"
The government admits to 19 #NHS workers deaths with COVID-19. Elsewhere the number is 52. The very least this inept and feckless government could do is acknowledge those who have died on the front line. Please retweet if you agree #TruthMatters HTTPURL,INFORMATIVE,0.822454,High,0.990874,INFORMATIVE / High,"{'UNINFORMATIVE': 0.17754621803760529, 'INFORMATIVE': 0.8224537372589111}","{'Low': 0.008863554336130619, 'Medium': 0.00026280144811607897, 'High': 0.9908735752105713}"
"#SocialWorkers and other #HSCPs are critical to management of #COVID19 Great interview with Amanda Casey, Head Medical Social Worker @USER on how #COVID19 has affected the job and role of social work @USER #localheroes HTTPURL",UNINFORMATIVE,0.956506,-,-,UNINFORMATIVE,"{'UNINFORMATIVE': 0.9565056562423706, 'INFORMATIVE': 0.04349436238408089}",-
"Its just mind blowing how the coronavirus spiked from like under 5 cases in America in like January to over 245,000 that fast. My question is why didn’t it attack us faster (or sooner)?",UNINFORMATIVE,0.819493,-,-,UNINFORMATIVE,"{'UNINFORMATIVE': 0.819493293762207, 'INFORMATIVE': 0.18050672113895416}",-
"HEAT PODCAST: Journalism professor Andrew Miller caught #COVID19 on a trip to the UK. Within days of returning home, he was in the ICU fighting for his life. @USER shares his ordeal and road to recovery w/ @USER LISTEN: HTTPURL",INFORMATIVE,0.680451,Low,0.999188,INFORMATIVE / Low,"{'UNINFORMATIVE': 0.31954941153526306, 'INFORMATIVE': 0.6804506182670593}","{'Low': 0.9991876482963562, 'Medium': 0.0004766681813634932, 'High': 0.0003356805245857686}"
"@USER How come NHS frontline staff are not being tested? I know one UK Doctor has died from COVID19, could that have been prevented with testing? It seems one rule for you lot and one for everyone else!! #CoronavirusTest #ProtectOurHealthWorkers",UNINFORMATIVE,0.597622,-,-,UNINFORMATIVE,"{'UNINFORMATIVE': 0.5976220369338989, 'INFORMATIVE': 0.4023779034614563}",-
The governor of Puerto Rico @USER has just announced via press conference that a patient suspected to have Coronavirus has been quarantined. The person arrived to Puerto Rico on a cruise which had departed from Florida. #coronavirus @USER,INFORMATIVE,0.98201,Low,0.996282,INFORMATIVE / Low,"{'UNINFORMATIVE': 0.017990268766880035, 'INFORMATIVE': 0.9820097088813782}","{'Low': 0.9962823987007141, 'Medium': 0.0010541153606027365, 'High': 0.002663410734385252}"
"Question for @USER @USER Is it true that, after your UW Town Hall today, you’re still not offering staff free parking even after bus drivers are coming up positive for #COVID19?",UNINFORMATIVE,0.95522,-,-,UNINFORMATIVE,"{'UNINFORMATIVE': 0.9552199840545654, 'INFORMATIVE': 0.044780004769563675}",-
"The Virus that Tried to Kill the Constitution-COVID, The Constitution and Cause for Concern HTTPURL via @USER",UNINFORMATIVE,0.852971,-,-,UNINFORMATIVE,"{'UNINFORMATIVE': 0.852971076965332, 'INFORMATIVE': 0.14702893793582916}",-
"A man in his 50's who tested ""presumptive positive"" for the coronavirus remains in the VA in North Las Vegas. The man, who we are told does have an underlying health issue, was tested late Wednesday and now we are waiting for a confirmation from the CDC. HTTPURL",INFORMATIVE,0.994044,Medium,0.988522,INFORMATIVE / Medium,"{'UNINFORMATIVE': 0.005956368986517191, 'INFORMATIVE': 0.9940436482429504}","{'Low': 0.0021458242554217577, 'Medium': 0.988521933555603, 'High': 0.009332282468676567}"
"The 93, 85-years old couples who were the oldest #Covid19 patients in India were discharged from Kottayam Medical College in Kerala today after curing the disease. #WeShallOvercome #COVID19Pandemic HTTPURL",INFORMATIVE,0.853138,Low,0.999133,INFORMATIVE / Low,"{'UNINFORMATIVE': 0.1468617171049118, 'INFORMATIVE': 0.853138267993927}","{'Low': 0.9991330504417419, 'Medium': 0.0004041775537189096, 'High': 0.00046287421719171107}"
"MORE RECOVERIES! The Department of Health reports 7 new COVID-19 recoveries, bringing the total number of recovered patients to 49. Please stay at home! #COVID19PH HTTPURL",INFORMATIVE,0.986759,Low,0.999231,INFORMATIVE / Low,"{'UNINFORMATIVE': 0.013241325505077839, 'INFORMATIVE': 0.9867586493492126}","{'Low': 0.9992313385009766, 'Medium': 0.0005095949745737016, 'High': 0.0002590414951555431}"
Prime Minister Narendra Modi today interacted with the Central Ministers via video conference. PM appreciated the leadership of the Ministers and said that the continuous feedback provided by them has been effective in strategizing for tackling #COVID19: Prime Minister's Office,UNINFORMATIVE,0.980507,-,-,UNINFORMATIVE,"{'UNINFORMATIVE': 0.9805071353912354, 'INFORMATIVE': 0.01949288696050644}",-
"Kamal Khera, parliamentary secretary for international development, has tested positive for #COVID19. She met with World Food Programme Executive Director, David Beasley, earlier this month in Ottawa. Beasley announced last week he had tested positive for the virus. #cdnpoli",INFORMATIVE,0.958563,Medium,0.986055,INFORMATIVE / Medium,"{'UNINFORMATIVE': 0.041436877101659775, 'INFORMATIVE': 0.9585630893707275}","{'Low': 0.0017617859411984682, 'Medium': 0.9860548377037048, 'High': 0.012183375656604767}"
"South Korea says detected North Korea missile fire 'inapproriate' amid coronavirus . North Korea fired two projectiles that appeared to be short-range ballistic missiles on Saturday, South Korea’s military said, calling the action “highly inappropriate” HTTPURL",UNINFORMATIVE,0.799365,-,-,UNINFORMATIVE,"{'UNINFORMATIVE': 0.7993649840354919, 'INFORMATIVE': 0.20063500106334686}",-
"JUST IN: As of today, SA now has 240 confirmed cases of #Covid_19. There has been an increase of 38 from Friday’s announcement. #CoronavirusInSouthAfrica HTTPURL",INFORMATIVE,0.94919,High,0.920036,INFORMATIVE / High,"{'UNINFORMATIVE': 0.050810057669878006, 'INFORMATIVE': 0.9491899013519287}","{'Low': 0.030181000009179115, 'Medium': 0.04978271201252937, 'High': 0.9200363159179688}"
"Ghana and Nigeria really slugging this Coronavirus table, both now have confirmed 214 cases each with 5 deaths in Ghana to 4 in Nigeria, but Ghana have discharged 31 to 25 for Nigeria.",INFORMATIVE,0.963664,Low,0.998628,INFORMATIVE / Low,"{'UNINFORMATIVE': 0.036335937678813934, 'INFORMATIVE': 0.9636640548706055}","{'Low': 0.9986279010772705, 'Medium': 0.0005631874082610011, 'High': 0.0008088700124062598}"
