demo_id	Id	Text	true_m1_label	true_m2_label	true_final_label	source_split	risk_label_reason
DEMO_036	1241267362751549440	#SocialWorkers and other #HSCPs are critical to management of #COVID19 Great interview with Amanda Casey, Head Medical Social Worker @USER on how #COVID19 has affected the job and role of social work @USER #localheroes HTTPURL	UNINFORMATIVE	-	UNINFORMATIVE	original_train	-
DEMO_037	1246020390784204800	Its just mind blowing how the coronavirus spiked from like under 5 cases in America in like January to over 245,000 that fast. My question is why didn’t it attack us faster (or sooner)?	INFORMATIVE	Medium	INFORMATIVE / Medium	original_train	informative but not High/Low
DEMO_038	1247615287165440009	HEAT PODCAST: Journalism professor Andrew Miller caught #COVID19 on a trip to the UK. Within days of returning home, he was in the ICU fighting for his life. @USER shares his ordeal and road to recovery w/ @USER LISTEN: HTTPURL	INFORMATIVE	Low	INFORMATIVE / Low	original_train	recovery/discharge
DEMO_039	1243546976882429958	@USER How come NHS frontline staff are not being tested? I know one UK Doctor has died from COVID19, could that have been prevented with testing? It seems one rule for you lot and one for everyone else!! #CoronavirusTest #ProtectOurHealthWorkers	INFORMATIVE	High	INFORMATIVE / High	original_train	death/fatality
DEMO_040	1236813904904368128	The governor of Puerto Rico @USER has just announced via press conference that a patient suspected to have Coronavirus has been quarantined. The person arrived to Puerto Rico on a cruise which had departed from Florida. #coronavirus @USER	INFORMATIVE	Low	INFORMATIVE / Low	original_train	negative/no confirmed/suspected case
DEMO_041	1241138120885555201	Question for @USER @USER Is it true that, after your UW Town Hall today, you’re still not offering staff free parking even after bus drivers are coming up positive for #COVID19?	UNINFORMATIVE	-	UNINFORMATIVE	original_train	-
DEMO_042	1245871053169016837	The Virus that Tried to Kill the Constitution-COVID, The Constitution and Cause for Concern HTTPURL via @USER	UNINFORMATIVE	-	UNINFORMATIVE	original_train	-
DEMO_043	1236119379345104907	"A man in his 50's who tested ""presumptive positive"" for the coronavirus remains in the VA in North Las Vegas. The man, who we are told does have an underlying health issue, was tested late Wednesday and now we are waiting for a confirmation from the CDC. HTTPURL"	INFORMATIVE	Medium	INFORMATIVE / Medium	original_test	informative but not High/Low
DEMO_044	1246030982114734080	The 93, 85-years old couples who were the oldest #Covid19 patients in India were discharged from Kottayam Medical College in Kerala today after curing the disease. #WeShallOvercome #COVID19Pandemic HTTPURL	INFORMATIVE	Low	INFORMATIVE / Low	original_train	recovery/discharge
DEMO_045	1244910753297006592	MORE RECOVERIES! The Department of Health reports 7 new COVID-19 recoveries, bringing the total number of recovered patients to 49. Please stay at home! #COVID19PH HTTPURL	INFORMATIVE	Low	INFORMATIVE / Low	original_train	recovery/discharge
DEMO_046	1247109171759042560	Prime Minister Narendra Modi today interacted with the Central Ministers via video conference. PM appreciated the leadership of the Ministers and said that the continuous feedback provided by them has been effective in strategizing for tackling #COVID19: Prime Minister's Office	UNINFORMATIVE	-	UNINFORMATIVE	original_test	-
DEMO_047	1242851719580614659	Kamal Khera, parliamentary secretary for international development, has tested positive for #COVID19. She met with World Food Programme Executive Director, David Beasley, earlier this month in Ottawa. Beasley announced last week he had tested positive for the virus. #cdnpoli	INFORMATIVE	Medium	INFORMATIVE / Medium	original_valid	informative but not High/Low
DEMO_048	1241191291750428673	South Korea says detected North Korea missile fire 'inapproriate' amid coronavirus . North Korea fired two projectiles that appeared to be short-range ballistic missiles on Saturday, South Korea’s military said, calling the action “highly inappropriate” HTTPURL	UNINFORMATIVE	-	UNINFORMATIVE	original_test	-
DEMO_049	1241328998967377920	JUST IN: As of today, SA now has 240 confirmed cases of #Covid_19. There has been an increase of 38 from Friday’s announcement. #CoronavirusInSouthAfrica HTTPURL	INFORMATIVE	High	INFORMATIVE / High	original_train	increase/new count >=100 (240)
DEMO_050	1246742642874028033	Ghana and Nigeria really slugging this Coronavirus table, both now have confirmed 214 cases each with 5 deaths in Ghana to 4 in Nigeria, but Ghana have discharged 31 to 25 for Nigeria.	INFORMATIVE	Low	INFORMATIVE / Low	original_train	recovery/discharge
