Text,pred_label,prob_informative,prob_uninformative,keyword_score,matched_keywords,final_score,alert_level,alert_rank
"2 more doctors in China die from Covid-19 infection on Feb. 23, 2020 HTTPURL",INFORMATIVE,0.5778969625326777,0.4221030374673222,1,{'symptoms_infection': ['infection']},4,LOW,1
#Betfair Turf (RSA) 21st Mar/R2 1200m Plt at 11:30 UK. A LAY on Giant Slayer at 5. New markets on AU NZ US SG ZA #HorseRacing live at HTTPURL . #COVID19 #CoronaVirus #StaySafe - follow our bets with BetTrader from HTTPURL HTTPURL,UNINFORMATIVE,0.278867053692075,0.721132946307925,0,{},0,LOW,1
Second female patient discharged from SSG hospital. She is 3rd patient in #Vadodara who has been discharged after reports came negative. The 27-yr-old is pregnant. The govt hospital had made special arrangements for her at the isolation ward #COVID2019 #coronavirus @USER,INFORMATIVE,0.964616594583973,0.035383405416027004,4,"{'medical_system': ['hospital'], 'testing_quarantine': ['isolation']}",9,HIGH,3
"After 4 hours of struggle, here is the first output from the scientific literature on covid related articles(29300+). Similar words related to azithromycin found automatically by the machine. #MachineLearning #COVIDー19 #ChineseVirus #NaturalLanguageProcessing HTTPURL",UNINFORMATIVE,0.2996125589272952,0.7003874410727048,0,{},0,LOW,1
"Gov. Ron DeSantis urged Floridians to stay home and not panic about the spread of coronavirus, which has infected at least 1,000 people statewide. Here's the latest Monday morning: HTTPURL",INFORMATIVE,0.5210374598913706,0.4789625401086294,1,"{'symptoms_infection': ['infected', 'spread']}",4,LOW,1
"R.I.P to 🇬🇩Grenadian Roy Hastick, who founded the Caribbean American Chamber of Commerce and Industry (CACCI), has died. A victim of the Covid-19, Hastick died in a New York hospital on the morning of Thursday, 9… HTTPURL",INFORMATIVE,0.8312959802353866,0.16870401976461338,3,{'medical_system': ['hospital']},8,MEDIUM,2
"Germany Sees Almost 3,000 New Coronavirus Cases in 24 Hours - Robert Koch Institut HTTPURL",INFORMATIVE,0.8838231078798571,0.11617689212014298,2,{'case_growth': ['cases']},7,MEDIUM,2
Officials have confirmed two additional confirmed cases of COVID-19 in Kootenai County. HTTPURL,INFORMATIVE,0.9944835671957999,0.005516432804200119,2,"{'case_growth': ['confirmed cases', 'confirmed', 'cases']}",7,MEDIUM,2
New Jersey Gov. Phil Murphy signed an executive order Saturday directing most New Jersey residents to stay home amid the coronavirus pandemic. HTTPURL,UNINFORMATIVE,0.18069347777051614,0.8193065222294839,0,{},0,LOW,1
"10 new #Coronavirus cases have just been confirmed by the Federal Ministry of Health, 7 in Lagos, 3 in Abuja. #CoronavirusUpdates #COVID19Nigeria #CoronavirusNigeria #MediaGuideNG HTTPURL",INFORMATIVE,0.9134885197827434,0.08651148021725659,2,"{'case_growth': ['confirmed', 'cases']}",7,MEDIUM,2
"RIP Cristina,(striped dress) best known for the music she released on ZE Records, has died of Covid_19. She was the singer of the label’s first release, the 1978 single “Disco Clone.” Seated in white pants is Peter Goodwin whose song ""Criminal World"" Bowie covered in 1988 HTTPURL",INFORMATIVE,0.6580011401109587,0.3419988598890413,0,{},4,LOW,1
1/3 A big CHAOS about to happen in #AFGHANISTAN! There are more than 3 million #AfghanRefugees live in #Iran Refugees started to come back Afghan in late Feb Its reported that approx 90 thousands refugees have returned to Afghanistan voluntarily #CoronavirusPandemic #Covid_19,INFORMATIVE,0.5047727995299429,0.49522720047005714,0,{},3,LOW,1
Microsoft extends Windows 10 version 1709 support by six months (coronavirus) HTTPURL HTTPURL,UNINFORMATIVE,0.11692747344712229,0.8830725265528777,0,{},0,LOW,1
COVID-19 hot take: the first five minutes of BASEketball are actually amazing and great,UNINFORMATIVE,0.416442765187532,0.583557234812468,0,{},0,LOW,1
#BREAKING #NYC is seeing #COVID19 death every 2.5 minutes in the last 48 hours.,UNINFORMATIVE,0.4130653611840468,0.5869346388159532,3,{'death_severity': ['death']},3,LOW,1
Public health officials said there were two cases of #coronavirus in Santa Monica Thurs after confirming that three individuals in the city had tested positive Officials announced 40 new cases across Los Angeles County for a total of 231 HTTPURL,INFORMATIVE,0.9904461717358568,0.009553828264143215,3,"{'case_growth': ['new cases', 'tested positive', 'cases'], 'testing_quarantine': ['tested']}",8,MEDIUM,2
"Now that #Abuja has recorded 3 cases of the #Coronavirus, any plan of shutting the National Assembly which I believe sees the largest crowd in the city? In addition to the 469 lawmakers and their aides, there are averagely 3,500 visitors there weekly. @USER @USER",UNINFORMATIVE,0.35808510875523425,0.6419148912447658,2,{'case_growth': ['cases']},2,LOW,1
"Ravindra Shisve, Joint Commissioner of Pune Police: Based on complaint of Divisional Commissioner of Pune region a case has been registered with Koregaon police police station against one person for spreading fake message about #Coronavirus. HTTPURL",UNINFORMATIVE,0.3892006570800147,0.6107993429199853,1,{'symptoms_infection': ['spreading']},1,LOW,1
Father Scott Holmer got the idea after seeing South Korea organise drive-through virus tests. #FMTNews #Covid19 HTTPURL,UNINFORMATIVE,0.28481759133579165,0.7151824086642083,1,{'testing_quarantine': ['tests']},1,LOW,1
Good news. Coronavirus testing: Georgia researchers develop 2-hour test #Topbuzz HTTPURL,UNINFORMATIVE,0.32063937360847206,0.6793606263915279,1,"{'testing_quarantine': ['test', 'testing']}",1,LOW,1
"Someone told me less than 0.4% are sick in Italy. This tweet is for them. How awful!! @USER ""Coronavirus: Italy records 793 deaths in one day"" #Coronavirus HTTPURL",INFORMATIVE,0.5631282016708608,0.4368717983291392,3,{'death_severity': ['deaths']},6,MEDIUM,2
"Millions of US infected &amp; dying of #COVID19, millions sheltered-in-place, businesses closed, millions out of work, schools closed, stock mkt in turmoil, AND #AdamSchiff #NancyPelosi,#SenateDemocrats are spending $Millions, NOT on #Ventilators, but blaming #POTUSTrump for COVID19",UNINFORMATIVE,0.18555096784942704,0.814449032150573,5,"{'medical_system': ['ventilators'], 'symptoms_infection': ['infected'], 'public_response': ['closed']}",3,LOW,1
"Chinese test kits sent to Spain have a sensitivity of only 30% Meaning 30% of those who have COVID-19 tested positive for it. Most tests, including rapid influenza tests in the United States, require a minimum sensitivity of 80%. HTTPURL",INFORMATIVE,0.5166475099567022,0.48335249004329783,3,"{'case_growth': ['tested positive'], 'testing_quarantine': ['test', 'tests', 'tested']}",6,MEDIUM,2
"If you want to see the spread of the pandemic, see our map tracking novel #coronavirus cases across the globe: HTTPURL",UNINFORMATIVE,0.09275244802001603,0.907247551979984,3,"{'case_growth': ['cases'], 'symptoms_infection': ['spread']}",3,LOW,1
"Should be pointed out that Italy only had three coronavirus cases at that point, so the playing of the match was less of a risk than, say, Cheltenham Festival. But interesting on how one game may have spread disease and also to Spain, whose “patient zero” had been at the game.",UNINFORMATIVE,0.4959740628448245,0.5040259371551755,3,"{'case_growth': ['cases'], 'symptoms_infection': ['spread']}",3,LOW,1
"Having reported no #COVID19 case, #Turkmenistan now banns the withdrawal of cash in foreign currencies in banks as of April 1, a sign that the country may be cash-strapped HTTPURL",UNINFORMATIVE,0.35090178902562663,0.6490982109743734,0,{},0,LOW,1
#BreakingNews an @USER staff member who participated in the Chromebook distribution program at Madison’s Trust Elementary School on March 31st has reportedly tested positive for COVID-19. The member is currently self-isolating. HTTPURL,INFORMATIVE,0.8183806644220163,0.18161933557798368,3,"{'case_growth': ['tested positive'], 'testing_quarantine': ['tested']}",8,MEDIUM,2
🚨🚨🚨🚨🚨”9400 HAVE RECOVERED” from #coronavirus !!!! #FoxNews 🚨🚨🚨🚨🚨🚨🚨🚨THIS is the news we NEED to hear!!,INFORMATIVE,0.7384160411252401,0.26158395887475994,0,{},4,LOW,1
"#Dallas County Reports Coronavirus Clusters Due to Recreational Gatherings, Office Work - Mar 21 @ 5:30 PM ET HTTPURL",UNINFORMATIVE,0.3604923578274718,0.6395076421725282,0,{},0,LOW,1
"UP police expunges FIR against #coronavirus positive case in #Meerut; Ashutosh Kumar, SHO,Nahchandi PS: It was found during investigation that he did not know he was corona +ve &amp; hence FIR has been expunged. Wanted to give out a msg that +ve cases should come fwd without any fear",INFORMATIVE,0.5478439257970001,0.45215607420299986,2,{'case_growth': ['cases']},5,MEDIUM,2
@USER @USER @USER @USER @USER WHO recommends isolation 14 days after end of #COVID19 symptoms. @USER still looked as if he had symptoms after only 6 days of onset of symptoms. I know #Hydroxycloroquine + #Azithromycin work wonders in aiding recovery from #COVID19 but not sure it stops infecting others.,UNINFORMATIVE,0.3076681638956599,0.6923318361043401,2,"{'testing_quarantine': ['isolation'], 'symptoms_infection': ['symptoms']}",2,LOW,1
"It's no coincidence ""health"" comes b4 ""wealth"" in d Eng dctionary. It's bcos ONLY a healthy person creates wealth.Getting 🇺🇸s back 2 work after Easter COULD B GRIEVOUS after many wd hve bcom Asymptomatic carrier of #COVID19. 1st 🇳🇬 index case is Italian. 🇺🇸 has surpassed d record",UNINFORMATIVE,0.4176463963353588,0.5823536036646412,0,{},0,LOW,1
"@USER @USER @USER No i think 'The Media' should point out that ""20, 30, 40 or 100 patients who test positive for normal coronaviruses, are dying every day &amp; that the government’s anti-COVID19 measures are grotesque, absurd and very dangerous"" (in links). (not including 5G in Wuhan &amp; Italy).",UNINFORMATIVE,0.19648815985628565,0.8035118401437144,1,{'testing_quarantine': ['test']},1,LOW,1
"France reports 1,847 new cases of #COVID19 and 112 new deaths today. This brings the total in France to 14,459 cases of which 562 have died. 1,587 people have recovered, 1,525 patients are in critical condition in the intensive care.",INFORMATIVE,0.9784081596921725,0.02159184030782751,5,"{'case_growth': ['new cases', 'cases'], 'death_severity': ['deaths']}",10,HIGH,3
The Illinois Department of Public Health on Saturday announced 168 new cases of coronavirus disease. HTTPURL,INFORMATIVE,0.8395430677201148,0.16045693227988517,2,"{'case_growth': ['new cases', 'cases']}",7,MEDIUM,2
BREAKING: I was doing an interview with the mayor of #Middletown when he found out about the city's 1st positive coronavirus case. He says a resident in his 50s tested positive. He's doing well and is in self isolation. No word where he contracted it. Man recently traveled to FL.,INFORMATIVE,0.9666886106006756,0.03331138939932441,3,"{'case_growth': ['tested positive'], 'testing_quarantine': ['tested', 'isolation', 'self isolation']}",8,MEDIUM,2
14 DAYS MAY NOT BE ENOUGH: #Coronavirus can live in your body for up to 37 days. It was present inside patients with severe disease status for an avg. of 19 days &amp; inside the bodies of patients with critical disease status for an average of 24 days HTTPURL 05 #FBR HTTPURL,UNINFORMATIVE,0.22291634965868012,0.7770836503413199,0,{},0,LOW,1
"China will ban most foreigners from entering the country starting at midnight on Friday in an effort to block the spread of the coronavirus through imported cases, reported the South China Morning Post.",UNINFORMATIVE,0.31701851437370876,0.6829814856262912,4,"{'case_growth': ['cases'], 'symptoms_infection': ['spread'], 'public_response': ['ban']}",3,LOW,1
"I just heard that here in #BuffaloNY there are no #COVID19 test kits. Over 50 cases here and no test kits one million people in our area and no test kits? So no one really knows the ramp rate. So we are all at risk. Just admit it, we’re in deep shit Italian style. #wgrz #BuffNews",UNINFORMATIVE,0.4497411641955955,0.5502588358044045,3,"{'case_growth': ['cases'], 'testing_quarantine': ['test']}",3,LOW,1
"Switzerland: 74 out of the 89 cases of COVID-19 which had an outcome, ended in death. That’s 83%...",INFORMATIVE,0.6921265628069206,0.3078734371930793,5,"{'case_growth': ['cases'], 'death_severity': ['death']}",9,MEDIUM,2
WHO’s Matshidiso Moeti in a Zoom press conference: It’s too early to say whether the slowdown in new confirmed #Covid19 cases is an indication that the lockdown is working. Will only be able to tell in a few days from now. Has been a backlog in confirming tests recently.,INFORMATIVE,0.520230300844714,0.479769699155286,4,"{'case_growth': ['confirmed', 'cases'], 'testing_quarantine': ['tests'], 'public_response': ['lockdown']}",7,MEDIUM,2
"With Coronavirus cases rising in India and in line with PM Modi’s call to follow #JantaCurfew, let us all pledge to stay indoors 7 AM-9 PM on Mar 22. Also express our gratitude for doctors, nurses, postal staff by applauding contribution for 5 mins 5 PM Sunday #CoronaIndia HTTPURL",UNINFORMATIVE,0.288100371333989,0.711899628666011,2,"{'case_growth': ['cases', 'rising']}",2,LOW,1
"Healthy mum, 27, dies of coronavirus days after giving birth HTTPURL via @USER",INFORMATIVE,0.5649565235447855,0.4350434764552144,0,{},3,LOW,1
"Major Respite: 8 including 2-yr old grandson of #BaldevSinghPathlawa win #Coronavirus fight, test negative HTTPURL HTTPURL",INFORMATIVE,0.6387331525441933,0.36126684745580667,1,{'testing_quarantine': ['test']},5,MEDIUM,2
"🛑 BizPac Review News 🛑 👉 Trump tests negative for coronavirus, libs react with rants against White House doctor HTTPURL #MAGA 🇺🇸 ￼￼#2A #Prolife",UNINFORMATIVE,0.30564794912466875,0.6943520508753313,1,{'testing_quarantine': ['tests']},1,LOW,1
"Gov. Beshear said upwards of 1,000 tests for COVID-19 have been conducted in KY. Says he wouldn't be surprised if the actual number exceeded 1,500.",UNINFORMATIVE,0.4325022821572907,0.5674977178427093,1,{'testing_quarantine': ['tests']},1,LOW,1
"Meanwhile, the politically motivated genocide goes on in the USA. This is now President of Deaths' @USER @USER America First, as we are Number 1 in Coronavirus cases.. Proud of this @USER @USER ? You are all responsible for American deaths!! HTTPURL",INFORMATIVE,0.6038600527884361,0.3961399472115639,5,"{'case_growth': ['cases'], 'death_severity': ['deaths']}",9,MEDIUM,2
"U.S.: More than 10,000 people have tested positive for coronavirus in NY state, with a whopping 6,000 cases in NYC alone, Gov. Cuomo says.",INFORMATIVE,0.9852371888471606,0.014762811152839422,3,"{'case_growth': ['tested positive', 'cases'], 'testing_quarantine': ['tested']}",8,MEDIUM,2
"Hanzi UK University Predicts That “Zim To Record About 13 981 038 COVID-19 Infections And 33 073 Deaths In Next 250 Days,”. Nonsense kaidzi, Zim has an estimated population of 14 million, give or take. Kubva nyika yese icharohwa ka ne Corona.",INFORMATIVE,0.5848059547848594,0.4151940452151406,3,{'death_severity': ['deaths']},6,MEDIUM,2
"Carlito Galvez, COVID-19 Response Head: Mass testing is ongoing. Currently, 16,368 people have been tested. Many of the PUIs tested negative for COVID-19.",INFORMATIVE,0.6971645144304317,0.30283548556956824,1,"{'testing_quarantine': ['tested', 'testing']}",5,MEDIUM,2
"@USER In Spain the government has just announced that from tomorrow we ll live in restricted way. No cinemas, no pubs, no theaters...Just stay at home. In one day we have 1000 infected people more 😪 It is the only way 😷 #QuedateEnCasa #StayAtHome 🙏 #CoronaVirusIreland #Covid_19",INFORMATIVE,0.6481153416028846,0.3518846583971154,1,{'symptoms_infection': ['infected']},5,MEDIUM,2
"ISIS suicide bomber kills himself and 42 family members, after deciding to work from home #coronavirus HTTPURL",INFORMATIVE,0.5011658353077669,0.4988341646922331,0,{},3,LOW,1
"Eritrea confirms two more coronavirus cases, shuts schools and bans public transport HTTPURL #Eritrea #EritreaFightsCOVID19 #COVID19",INFORMATIVE,0.5767499948967794,0.4232500051032207,2,{'case_growth': ['cases']},5,MEDIUM,2
"Some tips I got from Dave Ramsey. After you have no debt you need to be sure to have $1000 emergency fund. After you have that, try to continue saving until you can have 3-6 months of your household expenses in case of true emergencies (ex: COVID-19 &amp;being laid off or furloughed)",UNINFORMATIVE,0.1980627975291418,0.8019372024708582,1,{'public_response': ['emergency']},1,LOW,1
"VIX Volatility Index, which is a measure of the stock market's expectation of volatility &amp; uncertainty at 77.54 today near the 2008 recession high of 80.86 is a sign the lows are in! The DOW's test of the Dec. 2018 low yesterday suggests a post-coronavirus recovery. @USER HTTPURL",UNINFORMATIVE,0.1584337667504374,0.8415662332495626,1,{'testing_quarantine': ['test']},1,LOW,1
"Daily Coronavirus Update for New York City: 4,408 Total Cases, 26 Deaths () 📲 Live on @USER HTTPURL HTTPURL",INFORMATIVE,0.872863323868875,0.12713667613112495,5,"{'case_growth': ['cases'], 'death_severity': ['deaths']}",10,HIGH,3
"@USER @USER @USER Coronavirus has led to more than 220,000 illnesses and 9,300 deaths worldwide. But that's nothing compared with the flu. In the U.S. alone, the flu has caused an estimated 36 million illnesses, 370,000 hospitalizations and 22,000 deaths. Centers for Disease Control and Prevention",INFORMATIVE,0.7081631253575579,0.2918368746424421,3,{'death_severity': ['deaths']},7,MEDIUM,2
@USER Some #GoodNews | *159* patients in #Maryland have recovered from #COVIDー19. @USER,INFORMATIVE,0.5862748893569683,0.41372511064303175,0,{},3,LOW,1
"Rep. Mark DeSaulnier in 'critical condition' with pneumonia after negative COVID-19 test, office says HTTPURL #news HTTPURL",INFORMATIVE,0.6138595161554963,0.3861404838445037,1,{'testing_quarantine': ['test']},5,MEDIUM,2
Our latest map illustrates the number of #COVID19 cases in #PuertoRico at the health boundary level as of March 30 and the location of hospitals. Take a look here: HTTPURL HTTPURL,UNINFORMATIVE,0.28811386520062976,0.7118861347993702,5,"{'case_growth': ['cases'], 'medical_system': ['hospitals']}",3,LOW,1
"Pakistan urges calm as coronavirus cases surge, Sri Lanka stops flights #coronavirus #COVID2019 HTTPURL",UNINFORMATIVE,0.4108258635830242,0.5891741364169758,2,"{'case_growth': ['cases', 'surge']}",2,LOW,1
Pakistan’s COVID-19 count crosses 700 after over 230 more cases reported in last 24 hours HTTPURL,INFORMATIVE,0.9089484264538062,0.09105157354619375,2,{'case_growth': ['cases']},7,MEDIUM,2
TN is at 371 cases of #Covid_19 Thank you @USER For all you are doing since youre basically on your own. We have 2 sycophants running our state that voted to NOT HELP THEIR CONSTITUENTS financially during #COVIDー19 Reprehensible. Shameful. @USER @USER,UNINFORMATIVE,0.13711144827090394,0.8628885517290961,2,{'case_growth': ['cases']},2,LOW,1
"The United States recorded 1,169 #COVID19UG fatalities in the past 24 hours, the Johns Hopkins University tracker showed Thursday, the highest one-day death toll recorded in any country since the global pandemic began. HTTPURL HTTPURL",INFORMATIVE,0.6818248011609095,0.3181751988390905,3,"{'death_severity': ['death', 'fatalities']}",7,MEDIUM,2
Please contribute tweets like this and other observations to the new 'Journal of the Plague Year in Melbourne 2020' at HTTPURL #covid19 @USER @USER,UNINFORMATIVE,0.185800136315855,0.814199863684145,0,{},0,LOW,1
Pierce county is about to pass 100 cases of #Covid_19. @USER please issue a shelter in place order for Washington State. We desperately need one.,UNINFORMATIVE,0.41016630096329443,0.5898336990367056,2,{'case_growth': ['cases']},2,LOW,1
Italy Calls in Military to Enforce Lockdown as Coronavirus Deaths Reached 627 in Single Day HTTPURL,INFORMATIVE,0.7804896137831485,0.2195103862168515,4,"{'death_severity': ['deaths'], 'public_response': ['lockdown']}",8,MEDIUM,2
twitter been funnier since this covid bs. y’all got nothing but timeeee😂😂,UNINFORMATIVE,0.24985235096781422,0.7501476490321858,0,{},0,LOW,1
I’m at the @USER for an update on the first positive case of #covid19 in Windsor. Head to @USER s Facebook page for a live video. HTTPURL @USER #cklw,INFORMATIVE,0.6216552392776841,0.37834476072231593,0,{},4,LOW,1
"GFY. Can we all pause to appreciate that since the beginning of the epidemic, 75 million people have been infected with HIV and 32 million people have died of AIDS? In 40 years, this true epidemic has not received half the attention of the fake #coronavirus scare in a few weeks.",UNINFORMATIVE,0.3483197121609287,0.6516802878390713,1,{'symptoms_infection': ['infected']},1,LOW,1
"@USER @USER Elderly have the highest coronavirus death-rate. miiCARE can save their lives as they self-isolate. miiCARE monitors body vitals which prevents and detects coronavirus early on. Any issues &amp; miiCARE calls family, care-workers, or 24/7 telecare service 👇HTTPURL",UNINFORMATIVE,0.12948951400848474,0.8705104859915153,4,"{'death_severity': ['death'], 'testing_quarantine': ['self isolate']}",3,LOW,1
"Courtesy of @USER the largest victim of the #coronavirus is oil price, and (except for Greece) commodity producers Russia, Brazil and Nigeria. EM Asia surprisingly resilient thanks to China's recovery. We are not out of the woods yet but the worst is behind in the mainland. HTTPURL",UNINFORMATIVE,0.08738118047128574,0.9126188195287143,0,{},0,LOW,1
"COVID-19: Benue Governor, Ortom, Deputy, others test negative to Coronavirus HTTPURL HTTPURL",INFORMATIVE,0.5677396120057261,0.43226038799427396,1,{'testing_quarantine': ['test']},4,LOW,1
"As Tokyo reports more than 40 new cases of the coronavirus for a second day in a row, governor Yuriko Koike and the heads of all neighboring prefectures issue the same message: Stay off the streets of the capital this weekend. HTTPURL HTTPURL",INFORMATIVE,0.5188416672230214,0.48115833277697856,2,"{'case_growth': ['new cases', 'cases']}",5,MEDIUM,2
India has handled Corona with least death and least Corona cases per capita in the world. Hope god will be merciful on anti India lobby which fails to see 25 deaths in India compared to 2 million deaths predicated by US president Trump My salute to @USER .,UNINFORMATIVE,0.39512298180032523,0.6048770181996748,5,"{'case_growth': ['cases'], 'death_severity': ['death', 'deaths']}",3,LOW,1
"Singer Kanika Kapoor: For past 4 days I've had signs of flu,I got tested&amp;it came positive for #COVID19. My family&amp;I are in complete quarantine&amp;following medical advice on how to move forward. Contact mapping of ppl I've been in touch with is underway.",INFORMATIVE,0.7189317882794319,0.2810682117205681,1,"{'testing_quarantine': ['tested', 'quarantine']}",5,MEDIUM,2
Anyone still think we're over-reacting?!! Italy's coronavirus death toll surpasses that of China | CBC News HTTPURL,INFORMATIVE,0.5162763138870481,0.48372368611295197,3,{'death_severity': ['death']},6,MEDIUM,2
"Myself &amp; millions of other people in San Francisco, NYC, etc are getting ZERO dollars from GIANT #coronavirus stimulus package due to our earnings. But we will surely be picking up the tab via taxes. Thanks @USER 🤦‍♂️Gov $$ including #BasicIncome should go 2 ALL people!",UNINFORMATIVE,0.13325576164180186,0.8667442383581981,0,{},0,LOW,1
"as testing for COVID-19 increases, the percentage of people testing positive is dropping, meaning lots of people who think they had the virus actually didn’t. a few days ago, 25% of people tested in LA County had gotten positive test results. now it’s only 12%.",INFORMATIVE,0.8853415608176561,0.11465843918234382,1,"{'testing_quarantine': ['test', 'tested', 'testing']}",6,MEDIUM,2
"BREAKING: First case of #COVID19 confirmed in Tuguegarao City, first in Cagayan Valley.",INFORMATIVE,0.9777062670687262,0.022293732931273836,2,{'case_growth': ['confirmed']},7,MEDIUM,2
61 new cases of #COVID19 in Ireland overnight - and this is only the beginning - it's going to get far worse before it gets better. The pubs are closed but now it's also time to #CloseTheRestaurants #Coronavirusireland #COVID19ireland #Covid19Walkout,UNINFORMATIVE,0.26143503407676427,0.7385649659232357,3,"{'case_growth': ['new cases', 'cases'], 'public_response': ['closed']}",3,LOW,1
"@USER @USER Oh Please! Spread #COVID19 amongst all the #republicans that you know! Disobey the order! 1st things 1st. It’ll only kill 1/2 of you. And hey, we only need about that to take the vote and turn Texas blue. Thank you for your Cooperation! #Democrats",UNINFORMATIVE,0.07175482657960586,0.9282451734203941,1,{'symptoms_infection': ['spread']},1,LOW,1
#Corona Virus: ⚠️🚨 This is infected #Shia pilgrims in #Bahrain. Imagine the thousands returning to #Pakistan from #Iran without being tested at the border. ThankYou #ZulfiBukhari @USER @USER @USER @USER @USER @USER #CoronaVirusPakistan,UNINFORMATIVE,0.2669904561871794,0.7330095438128206,2,"{'testing_quarantine': ['tested'], 'symptoms_infection': ['infected']}",2,LOW,1
"'Very useful resource': How Australia could utilise people with coronavirus immunity HTTPURL via @USER Australia should be moving to utilise people who have recovered from coronavirus &amp; may have developed immunity against virus to bolster essential services,👍",UNINFORMATIVE,0.269020515522542,0.730979484477458,0,{},0,LOW,1
"Now with the Eastern Cape registering its first #Covid19 case, @USER wonders how social distancing is going in the Northern Cape. HTTPURL",UNINFORMATIVE,0.3221381337896717,0.6778618662103283,0,{},0,LOW,1
"Vice President Pence, wife test negative for COVID-19 Source Fox News. KAG always 🙏🇺🇸",INFORMATIVE,0.6450122392391763,0.3549877607608237,1,{'testing_quarantine': ['test']},5,MEDIUM,2
